Timestamp,Device ID,Device Type,Installation Date,Location ID,City,Region,Latitude,Longitude,Traffic Volume,Air Quality Index (AQI),Noise Level,Energy Consumption (kWh),Water Usage (liters),Temperature (°C),Humidity (%),Device Status,Maintenance Date,Power Outage Hours (per month),Incident Reports,Public WiFi Users,Connectivity Uptime (%),Smart Parking Spots,Road Quality Index,Device Manufacturer,Firmware Version
10-12-2024 19:15,D0000,Public WiFi,12-02-2021,L0970,Houston,Downtown,12.365741,44.431226,951,137,58 dB,42.54,3105,6.1,79,Active,16-11-2023,25,3,117,92.25,19,72,SmartIoT,v1.0
10-12-2024 19:27,D0001,Traffic Light,31-12-2022,L0181,Houston,Downtown,-35.145428,-9.193881,1002,137,80 dB,13.5,3105,33.1,60,Under Maintenance,23-10-2023,23,4,222,98.97,19,59,GreenTech,v2.1
10-12-2024 19:52,D0002,Traffic Light,23-05-2024,L0698,San Francisco,Mission District,80.155068,140.936021,534,137,61 dB,14.94,3105,37.8,49,Active,16-11-2023,19,3,222,93.8,19,63,SmartIoT,v1.2
10-12-2024 19:49,D0003,Pollution Sensor,10-07-2020,L0007,Chicago,The Loop,20.538156,121.665232,951,102,55 dB,32.37,3105,-4.3,70,Active,16-11-2023,21,7,222,97.72,19,72,GreenTech,v1.2
10-12-2024 19:57,D0004,Smart Meter,19-12-2021,L0056,San Francisco,Financial District,20.729155,-165.94153,951,262,95 dB,27.54,9503,34.9,91,Under Maintenance,01-09-2024,43,2,222,92.21,19,72,SmartIoT,v1.2
10-12-2024 20:03,D0005,Public WiFi,24-10-2023,L0827,New York,Manhattan,-15.186078,-131.180878,951,137,64 dB,12.19,3105,21.2,99,Inactive,16-11-2023,35,4,380,90.98,19,72,UrbanTech,v1.1
10-12-2024 20:07,D0006,Traffic Light,27-11-2021,L0385,Chicago,Lincoln Park,47.607975,-138.014798,512,137,91 dB,40.66,3105,29.2,90,Inactive,16-11-2023,19,4,222,99.33,19,80,DeviceCorp,v1.1
10-12-2024 19:35,D0007,Parking Sensor,14-08-2022,L0106,Houston,Downtown,-79.50362,-81.616422,951,137,96 dB,39.6,3105,22.7,40,Active,16-11-2023,4,5,222,93.96,37,72,GreenTech,v1.2
10-12-2024 19:16,D0008,Smart Meter,15-04-2021,L0274,San Francisco,Financial District,34.76391,-71.738049,951,19,55 dB,33.28,989,23.4,25,Active,16-11-2023,14,9,222,90.81,19,72,SmartIoT,v1.0
10-12-2024 20:08,D0009,Parking Sensor,21-08-2023,L0437,Houston,Midtown,-52.926917,172.392711,951,137,81 dB,27.99,3105,-6.5,56,Inactive,16-11-2023,27,1,222,95.3,18,72,DeviceCorp,v2.1
10-12-2024 19:48,D0010,Parking Sensor,24-09-2020,L0030,Miami,South Beach,-69.620154,-77.26652,951,137,84 dB,20.96,3105,10.5,73,Inactive,16-11-2023,36,6,222,93.83,10,72,UrbanTech,v2.0
10-12-2024 19:42,D0011,Public WiFi,29-05-2020,L0989,Los Angeles,Downtown,73.284927,124.712052,951,137,97 dB,35.28,3105,28.1,48,Inactive,16-11-2023,11,0,274,95.72,19,72,DeviceCorp,v1.0
10-12-2024 19:48,D0012,Smart Meter,29-06-2021,L0140,New York,Brooklyn,-52.513738,-104.199703,951,288,88 dB,1.17,4920,1.9,82,Inactive,16-11-2023,42,7,222,98.66,19,72,UrbanTech,v2.0
10-12-2024 19:19,D0013,Smart Meter,22-12-2023,L0568,Miami,Brickell,-79.567027,-64.060912,951,6,60 dB,41.16,2824,23.4,94,Inactive,16-11-2023,45,10,222,90.67,19,72,DeviceCorp,v1.0
10-12-2024 20:12,D0014,Parking Sensor,30-06-2022,L0740,San Francisco,Financial District,-46.751777,-50.348007,951,137,81 dB,29.65,3105,30,37,Active,16-11-2023,35,3,222,96.72,11,72,UrbanTech,v1.2
10-12-2024 19:55,D0015,Traffic Light,18-03-2024,L0076,Houston,Downtown,12.083589,-71.369539,887,137,94 dB,18.17,3105,23.8,48,Active,16-11-2023,45,8,222,98.49,19,6,DeviceCorp,v2.1
10-12-2024 19:52,D0016,Public WiFi,29-03-2020,L0919,Los Angeles,Hollywood,-48.630146,-109.543065,951,137,90 dB,7.41,3105,34.4,90,Inactive,16-11-2023,40,1,328,99.51,19,72,GreenTech,v2.1
10-12-2024 19:42,D0017,Parking Sensor,12-02-2023,L0382,San Francisco,Financial District,-29.693884,-76.401562,951,137,60 dB,36.84,3105,20.9,43,Under Maintenance,08-02-2023,17,5,222,99.2,25,72,DeviceCorp,v1.0
10-12-2024 19:29,D0018,Traffic Light,26-12-2023,L0990,Chicago,The Loop,28.071299,12.880952,258,137,68 dB,45.17,3105,0.1,85,Active,16-11-2023,15,9,222,97.51,19,40,DeviceCorp,v1.2
10-12-2024 20:07,D0019,Pollution Sensor,15-06-2024,L0646,New York,Manhattan,-48.349324,-29.316742,951,298,98 dB,39.48,3105,33.9,63,Inactive,16-11-2023,42,0,222,95.86,19,72,DeviceCorp,v2.0
10-12-2024 19:55,D0020,Traffic Light,14-04-2024,L0500,San Francisco,Mission District,65.8811,128.061912,1426,137,56 dB,10.61,3105,14,25,Inactive,16-11-2023,14,10,222,97.63,19,56,GreenTech,v2.1
10-12-2024 19:53,D0021,Parking Sensor,11-06-2023,L0061,Miami,South Beach,-19.115179,-98.627465,951,137,66 dB,41.68,3105,18.2,26,Inactive,16-11-2023,17,4,222,92.5,22,72,UrbanTech,v1.0
10-12-2024 20:03,D0022,Pollution Sensor,23-09-2023,L0848,New York,Manhattan,-82.272731,102.356696,951,244,89 dB,19.74,3105,31.5,54,Under Maintenance,05-06-2024,34,10,222,99.65,19,72,UrbanTech,v2.1
10-12-2024 19:47,D0023,Traffic Light,31-05-2023,L0841,Houston,Midtown,85.042096,8.583541,417,137,60 dB,26.41,3105,13,87,Active,16-11-2023,24,0,222,93.25,19,80,UrbanTech,v1.2
10-12-2024 20:09,D0024,Public WiFi,08-11-2021,L0801,Houston,Midtown,-41.91348,170.508125,951,137,74 dB,49.45,3105,22.4,40,Under Maintenance,05-11-2024,28,7,391,95.91,19,72,DeviceCorp,v1.1
10-12-2024 19:25,D0025,Public WiFi,08-11-2021,L0780,Los Angeles,Downtown,82.811637,-1.897857,951,137,59 dB,30.54,3105,-9.9,20,Under Maintenance,12-03-2023,18,7,226,92.97,19,72,UrbanTech,v2.0
10-12-2024 19:52,D0026,Pollution Sensor,07-07-2020,L0482,Los Angeles,Downtown,-76.151839,-127.710107,951,297,94 dB,45.32,3105,21.5,64,Under Maintenance,14-12-2022,40,9,222,93.4,19,72,SmartIoT,v1.0
10-12-2024 19:31,D0027,Traffic Light,06-02-2024,L0923,Miami,Brickell,-10.879957,-119.73048,438,137,53 dB,3.66,3105,34.2,94,Active,16-11-2023,25,5,222,96.91,19,91,UrbanTech,v2.0
10-12-2024 19:19,D0028,Public WiFi,15-10-2024,L0656,San Francisco,Mission District,-4.207119,150.00178,951,137,77 dB,38.1,3105,31.5,50,Under Maintenance,24-11-2023,42,9,189,90.74,19,72,GreenTech,v1.2
10-12-2024 20:10,D0029,Public WiFi,13-01-2023,L0325,San Francisco,Mission District,-10.174921,-18.821715,951,137,55 dB,17.91,3105,2.9,35,Active,16-11-2023,18,1,38,92.15,19,72,SmartIoT,v1.1
10-12-2024 19:19,D0030,Smart Meter,19-10-2024,L0815,Miami,South Beach,89.915237,45.969576,951,276,70 dB,11.77,9129,19.8,92,Under Maintenance,17-01-2024,20,10,222,98.49,19,72,DeviceCorp,v1.2
10-12-2024 19:34,D0031,Public WiFi,18-05-2024,L0118,Miami,South Beach,71.851186,29.927777,951,137,99 dB,21.7,3105,37.5,34,Under Maintenance,17-12-2023,15,6,328,97.8,19,72,UrbanTech,v2.1
10-12-2024 19:23,D0032,Parking Sensor,07-05-2024,L0043,Chicago,Lincoln Park,22.867693,-18.468113,951,137,97 dB,26.5,3105,6,42,Under Maintenance,14-11-2023,17,5,222,94.61,35,72,UrbanTech,v1.0
10-12-2024 20:12,D0033,Smart Meter,21-08-2020,L0945,Chicago,Lincoln Park,-88.971084,38.85716,951,62,76 dB,25.16,5849,13.4,63,Active,16-11-2023,43,7,222,96,19,72,DeviceCorp,v2.1
10-12-2024 20:09,D0034,Traffic Light,22-12-2020,L0017,Miami,Brickell,58.56202,170.298521,594,137,96 dB,26.51,3105,31.1,58,Active,16-11-2023,42,9,222,97.95,19,40,GreenTech,v2.0
10-12-2024 20:11,D0035,Public WiFi,25-03-2020,L0248,Miami,South Beach,47.583821,139.213247,951,137,80 dB,28.57,3105,24,95,Under Maintenance,16-06-2023,10,9,136,94.4,19,72,DeviceCorp,v1.0
10-12-2024 19:38,D0036,Public WiFi,05-02-2024,L0898,San Francisco,Financial District,-6.626012,-174.888702,951,137,95 dB,40.46,3105,-8.9,30,Active,16-11-2023,23,1,391,97.19,19,72,GreenTech,v2.0
10-12-2024 19:59,D0037,Parking Sensor,28-07-2023,L0529,Miami,Brickell,-54.23927,19.044871,951,137,80 dB,46.52,3105,-1.4,25,Under Maintenance,09-07-2023,39,6,222,92.48,9,72,SmartIoT,v2.0
10-12-2024 19:40,D0038,Parking Sensor,04-07-2020,L0796,Chicago,Lincoln Park,71.474368,122.054182,951,137,50 dB,41.35,3105,18.7,42,Under Maintenance,11-01-2024,0,3,222,98.68,12,72,SmartIoT,v1.1
10-12-2024 19:27,D0039,Pollution Sensor,24-06-2020,L0394,Houston,Midtown,-5.526213,79.511775,951,289,88 dB,7.8,3105,28.5,43,Under Maintenance,12-07-2024,7,3,222,90.72,19,72,SmartIoT,v1.0
10-12-2024 19:42,D0040,Parking Sensor,01-04-2020,L0871,Los Angeles,Downtown,-78.61743,151.413979,951,137,66 dB,9.81,3105,8.7,97,Inactive,16-11-2023,27,7,222,98.18,46,72,UrbanTech,v1.0
10-12-2024 19:41,D0041,Parking Sensor,01-02-2021,L0923,New York,Manhattan,-59.256391,-88.414064,951,137,63 dB,31.18,3105,23.5,54,Under Maintenance,27-07-2024,4,7,222,92.66,36,72,UrbanTech,v2.1
10-12-2024 19:26,D0042,Public WiFi,11-07-2022,L0928,Miami,Brickell,29.380459,-61.074694,951,137,63 dB,8.84,3105,23.9,24,Inactive,16-11-2023,31,5,281,95.48,19,72,SmartIoT,v2.1
10-12-2024 19:28,D0043,Traffic Light,04-01-2024,L0895,Los Angeles,Hollywood,-47.078115,-5.404599,1893,137,97 dB,40.71,3105,12.9,46,Inactive,16-11-2023,42,1,222,98.38,19,71,SmartIoT,v2.0
10-12-2024 19:24,D0044,Smart Meter,16-07-2020,L0810,New York,Brooklyn,-61.813365,-165.703319,951,271,84 dB,46.46,4485,-1.3,58,Inactive,16-11-2023,6,6,222,93.88,19,72,GreenTech,v1.0
10-12-2024 19:32,D0045,Parking Sensor,11-08-2022,L0651,Los Angeles,Hollywood,78.493935,-36.211553,951,137,60 dB,37.36,3105,-7.8,82,Under Maintenance,28-10-2023,28,8,222,91.36,23,72,UrbanTech,v1.0
10-12-2024 20:04,D0046,Smart Meter,16-04-2020,L0013,New York,Brooklyn,19.1859,-148.144118,951,271,91 dB,37.16,6999,21,25,Inactive,16-11-2023,6,5,222,96.83,19,72,DeviceCorp,v1.0
10-12-2024 19:50,D0047,Pollution Sensor,08-10-2023,L0187,San Francisco,Financial District,26.082453,43.753088,951,41,79 dB,30.53,3105,31.2,42,Inactive,16-11-2023,29,5,222,90.98,19,72,SmartIoT,v2.1
10-12-2024 19:44,D0048,Public WiFi,20-11-2023,L0719,Houston,Midtown,-62.788488,-144.481992,951,137,69 dB,3.09,3105,1.5,53,Active,16-11-2023,46,6,173,91.11,19,72,UrbanTech,v2.1
10-12-2024 20:02,D0049,Parking Sensor,25-08-2022,L0952,San Francisco,Mission District,-47.943348,-119.503285,951,137,54 dB,25.96,3105,28.9,87,Active,16-11-2023,44,2,222,90.65,1,72,DeviceCorp,v1.2
10-12-2024 20:00,D0050,Pollution Sensor,23-05-2021,L0288,Seattle,Pioneer Square,-78.629677,-5.510644,951,298,75 dB,3.05,3105,14.1,60,Inactive,16-11-2023,24,1,222,98.04,19,72,SmartIoT,v2.0
10-12-2024 19:56,D0051,Smart Meter,04-04-2022,L0982,Los Angeles,Downtown,-51.203594,-103.490809,951,149,74 dB,27.97,9752,1.9,59,Active,16-11-2023,31,6,222,90.11,19,72,UrbanTech,v1.2
10-12-2024 19:49,D0052,Smart Meter,05-06-2024,L0191,Seattle,Pioneer Square,44.996278,-103.345964,951,115,50 dB,8.74,8163,24,34,Active,16-11-2023,27,2,222,95.47,19,72,DeviceCorp,v2.0
10-12-2024 19:39,D0053,Parking Sensor,29-05-2023,L0912,Houston,Downtown,1.335447,39.177198,951,137,96 dB,3.24,3105,25.4,61,Active,16-11-2023,26,2,222,98.66,50,72,DeviceCorp,v2.0
10-12-2024 20:04,D0054,Smart Meter,23-09-2021,L0682,Chicago,The Loop,-54.470348,-120.32027,951,90,89 dB,20.22,7342,-0.5,30,Inactive,16-11-2023,25,4,222,94.84,19,72,DeviceCorp,v2.1
10-12-2024 19:27,D0055,Smart Meter,28-08-2023,L0667,San Francisco,Financial District,85.033045,-30.905934,951,102,50 dB,12.01,2834,12.4,39,Inactive,16-11-2023,50,10,222,95.15,19,72,DeviceCorp,v2.1
10-12-2024 19:25,D0056,Public WiFi,09-09-2023,L0044,Los Angeles,Hollywood,-22.089211,-67.196656,951,137,62 dB,19.7,3105,39.4,37,Active,16-11-2023,49,2,103,90.99,19,72,GreenTech,v1.1
10-12-2024 19:32,D0057,Smart Meter,10-01-2022,L0451,Miami,South Beach,7.818365,133.385298,951,222,56 dB,33.46,7406,35.8,39,Under Maintenance,03-08-2023,4,10,222,99.97,19,72,DeviceCorp,v2.0
10-12-2024 19:21,D0058,Traffic Light,15-10-2023,L0663,Chicago,Lincoln Park,79.953298,-115.683993,661,137,65 dB,16.92,3105,28.7,85,Active,16-11-2023,41,8,222,95.86,19,3,DeviceCorp,v1.1
10-12-2024 19:21,D0059,Smart Meter,06-06-2021,L0466,Los Angeles,Downtown,-47.72027,-157.551904,951,52,65 dB,23.48,7170,9.1,37,Active,16-11-2023,2,3,222,95.41,19,72,UrbanTech,v1.2
10-12-2024 19:34,D0060,Pollution Sensor,04-07-2020,L0763,Houston,Midtown,-54.179023,138.688701,951,146,66 dB,37.62,3105,-6.3,71,Active,16-11-2023,49,4,222,91.21,19,72,GreenTech,v1.0
10-12-2024 19:18,D0061,Pollution Sensor,19-07-2021,L0500,San Francisco,Mission District,85.389604,-174.079901,951,297,74 dB,46.8,3105,-9,91,Inactive,16-11-2023,19,3,222,92.03,19,72,UrbanTech,v2.1
10-12-2024 19:36,D0062,Public WiFi,19-02-2020,L0412,Los Angeles,Downtown,-55.829508,178.017511,951,137,69 dB,29.68,3105,31,31,Inactive,16-11-2023,0,8,304,99.19,19,72,DeviceCorp,v2.1
10-12-2024 19:33,D0063,Public WiFi,26-12-2021,L0179,San Francisco,Mission District,-13.874948,-138.252807,951,137,58 dB,20.05,3105,29.5,55,Inactive,16-11-2023,2,9,420,94.47,19,72,UrbanTech,v1.1
10-12-2024 20:09,D0064,Pollution Sensor,24-07-2020,L0157,Chicago,The Loop,-0.645869,160.163826,951,113,64 dB,43.43,3105,38.6,47,Inactive,16-11-2023,30,6,222,93.81,19,72,DeviceCorp,v2.0
10-12-2024 19:28,D0065,Pollution Sensor,22-07-2020,L0058,Seattle,Capitol Hill,32.193851,124.388554,951,19,97 dB,13.07,3105,-8.3,20,Under Maintenance,06-01-2024,8,7,222,97.09,19,72,SmartIoT,v1.2
10-12-2024 19:51,D0066,Public WiFi,27-01-2021,L0108,Houston,Midtown,1.521364,-167.192384,951,137,53 dB,49.1,3105,17.4,42,Active,16-11-2023,45,2,143,98.27,19,72,GreenTech,v1.0
10-12-2024 19:13,D0067,Traffic Light,23-01-2024,L0866,Los Angeles,Hollywood,11.971067,59.33537,1058,137,56 dB,5.47,3105,37.1,88,Active,16-11-2023,15,4,222,90.65,19,100,GreenTech,v1.0
10-12-2024 20:06,D0068,Traffic Light,29-03-2020,L0400,Miami,South Beach,34.023297,-130.004003,1750,137,55 dB,40.04,3105,-3.2,83,Active,16-11-2023,35,1,222,99.83,19,83,SmartIoT,v2.1
10-12-2024 20:00,D0069,Parking Sensor,01-06-2023,L0316,Miami,South Beach,79.543085,111.626715,951,137,67 dB,41.54,3105,4.1,82,Active,16-11-2023,16,1,222,90.12,3,72,UrbanTech,v1.1
