Device ID,Device Type,Installation Date,Location ID,City,Region,Latitude,Longitude,Traffic Volume,Air Quality Index (AQI),Noise Level,Energy Consumption (kWh),Water Usage (liters),Temperature (°C),Humidity (%),Device Status,Maintenance Date,Power Outage Hours (per month),Incident Reports,Public WiFi Users,Connectivity Uptime (%),Smart Parking Spots,Road Quality Index,Device Manufacturer,Firmware Version,Energy Rate (per kWh),Water Rate (per liter),Operating Cost (per hour),Advertising Revenue (from WiFi),Maintenance Cost,Device Usage Hours,Date,Time
D0000,Pollution Sensor,2024-03-27,L0451,San Francisco,Financial District,89.356599,-127.622833,981,213,60 dB,23.13,4950,21,61,Active,2023-03-03,19,6,234,93.81,30,63,UrbanTech,v2.0,0.27,0.0036,13.11,0,0,396,2024-12-01,21:30:41
D0001,Public WiFi,2020-06-19,L0531,Seattle,Pioneer Square,84.367397,36.047288,981,108,80 dB,10.65,4950,-4.1,62,Active,2023-03-03,14,8,345,91.8,30,63,SmartIoT,v1.1,0.33,0.0073,42.72,538.97,0,1541,2024-10-25,23:48:41
D0002,Public WiFi,2022-08-23,L0810,Seattle,Pioneer Square,-62.433993,-24.258862,981,108,82 dB,15.32,4950,7.9,52,Active,2023-03-03,31,2,295,99.91,30,63,SmartIoT,v1.0,0.28,0.0078,37.17,797.07,0,643,2024-04-02,13:12:30
D0003,Pollution Sensor,2022-04-15,L0741,Houston,Midtown,-78.170852,77.43525,981,7,84 dB,41.67,4950,26.2,28,Under Maintenance,2023-11-16,33,6,234,94.15,30,63,UrbanTech,v2.1,0.31,0.0095,39.78,0,191.5,612,2024-09-27,14:58:14
D0004,Smart Meter,2022-10-25,L0151,Miami,South Beach,-34.077433,34.592106,981,168,94 dB,34.16,6813,-9.6,23,Active,2023-03-03,19,6,234,98.84,30,63,DeviceCorp,v1.0,0.44,0.0057,24.56,0,0,1060,2024-03-14,01:28:42
D0005,Traffic Light,2022-06-21,L0928,Houston,Midtown,-50.499587,27.191095,1617,108,71 dB,29.17,4950,38.2,81,Inactive,2023-03-03,41,10,234,92.82,30,1,UrbanTech,v1.0,0.4,0.0011,12.32,0,0,1117,2024-01-04,12:37:08
D0006,Smart Meter,2024-03-02,L0404,Chicago,The Loop,33.653871,91.271577,981,178,82 dB,9.81,1339,34.2,33,Inactive,2023-03-03,48,1,234,94.55,30,63,GreenTech,v2.0,0.47,0.004,31.46,0,0,1475,2024-10-08,18:07:07
D0007,Public WiFi,2020-09-03,L0263,Los Angeles,Hollywood,-18.45633,-74.988182,981,108,80 dB,1.36,4950,3.9,54,Under Maintenance,2024-06-03,7,3,261,97.42,30,63,SmartIoT,v2.1,0.17,0.0012,22.32,223.82,344.76,529,2024-03-12,06:48:10
D0008,Public WiFi,2020-10-18,L0597,Miami,South Beach,35.99542,8.498073,981,108,50 dB,49,4950,9,100,Active,2023-03-03,28,8,490,96.98,30,63,GreenTech,v1.1,0.17,0.0015,27.46,197.61,0,1066,2024-02-09,19:40:20
D0009,Traffic Light,2022-02-03,L0348,Seattle,Capitol Hill,-86.677095,59.586942,1572,108,84 dB,8.13,4950,6,31,Under Maintenance,2023-01-03,1,6,234,92.85,30,65,UrbanTech,v1.1,0.29,0.0054,40.37,0,459.21,1572,2024-07-19,03:18:19
D0010,Pollution Sensor,2021-01-27,L0667,New York,Manhattan,-2.079435,-75.719101,981,294,64 dB,42.51,4950,29.5,47,Under Maintenance,2024-09-17,36,0,234,91.32,30,63,SmartIoT,v1.1,0.45,0.0045,33.87,0,433.03,1417,2024-08-04,21:48:26
D0011,Parking Sensor,2020-03-10,L0903,Chicago,The Loop,-28.574908,-84.051411,981,108,58 dB,36.81,4950,-4.4,28,Inactive,2023-03-03,44,10,234,90.6,3,63,DeviceCorp,v1.0,0.46,0.0093,18.45,0,0,1023,2024-05-05,08:32:02
D0012,Public WiFi,2024-08-09,L0954,Miami,South Beach,13.199987,49.605601,981,108,78 dB,38.59,4950,40,51,Active,2023-03-03,40,3,225,93.16,30,63,DeviceCorp,v1.0,0.37,0.0091,24.16,529.05,0,189,2024-09-20,10:37:48
D0013,Public WiFi,2021-05-05,L0859,San Francisco,Mission District,-48.514184,62.3606,981,108,86 dB,22.08,4950,5.1,82,Under Maintenance,2023-11-11,5,8,262,96.37,30,63,DeviceCorp,v1.0,0.17,0.0046,18.3,566.36,439.63,336,2024-06-29,01:24:21
D0014,Parking Sensor,2023-05-05,L0245,San Francisco,Financial District,43.347845,64.148988,981,108,79 dB,23.69,4950,11.5,60,Active,2023-03-03,44,3,234,98.53,39,63,SmartIoT,v1.0,0.29,0.0061,39.12,0,0,1560,2024-12-07,08:28:44
D0015,Pollution Sensor,2022-08-17,L0563,San Francisco,Financial District,-49.02757,-177.514764,981,82,98 dB,47.93,4950,2.6,47,Active,2023-03-03,16,7,234,93.76,30,63,UrbanTech,v2.0,0.29,0.0054,49.12,0,0,1061,2024-07-31,14:15:08
D0016,Public WiFi,2022-05-17,L0456,New York,Brooklyn,-1.701498,-149.284703,981,108,76 dB,8.49,4950,14.6,39,Active,2023-03-03,4,6,398,92.15,30,63,SmartIoT,v2.0,0.36,0.0013,23.79,717.26,0,1435,2024-06-06,08:27:18
D0017,Smart Meter,2021-11-24,L0886,Seattle,Capitol Hill,26.091102,173.104544,981,63,72 dB,31.35,7851,5.7,39,Under Maintenance,2023-03-06,44,4,234,95.34,30,63,GreenTech,v1.1,0.31,0.007,30.11,0,307.12,359,2024-09-08,18:38:14
D0018,Public WiFi,2022-04-06,L0519,San Francisco,Mission District,67.558149,111.027593,981,108,93 dB,11.57,4950,-0.2,40,Inactive,2023-03-03,12,3,172,93.24,30,63,UrbanTech,v1.1,0.16,0.0023,32.13,124.97,0,502,2024-12-11,16:31:58
D0019,Public WiFi,2021-03-01,L0195,New York,Brooklyn,-9.581241,50.942514,981,108,100 dB,14.48,4950,33.2,63,Under Maintenance,2024-01-02,39,1,490,92.23,30,63,DeviceCorp,v1.0,0.21,0.0095,35.32,133.04,159.47,1353,2024-06-23,13:03:32
D0020,Smart Meter,2021-03-17,L0398,Seattle,Pioneer Square,-20.816346,98.885214,981,201,54 dB,20.27,5306,20.5,82,Under Maintenance,2023-02-12,14,4,234,91.42,30,63,GreenTech,v1.0,0.32,0.0076,43.31,0,343.59,1055,2024-03-07,21:08:04
D0021,Parking Sensor,2023-05-26,L0953,San Francisco,Financial District,8.176137,-149.415929,981,108,90 dB,27,4950,15.1,41,Active,2023-03-03,7,1,234,94.5,20,63,SmartIoT,v2.1,0.23,0.001,48.77,0,0,1189,2024-05-04,15:12:42
D0022,Pollution Sensor,2021-01-25,L0883,Chicago,The Loop,-74.666758,-41.429861,981,261,94 dB,18.61,4950,33,100,Inactive,2023-03-03,27,10,234,94.73,30,63,DeviceCorp,v2.1,0.22,0.0055,47.13,0,0,1035,2024-07-20,16:38:31
D0023,Public WiFi,2023-07-05,L0475,New York,Brooklyn,78.542807,134.488616,981,108,69 dB,43.05,4950,26,30,Under Maintenance,2024-07-19,46,3,468,91.54,30,63,GreenTech,v2.0,0.46,0.0079,15.74,710.25,301.44,420,2024-08-13,20:25:27
