Device ID,Device Type,Installation Date,Location ID,City,Region,Latitude,Longitude,Traffic Volume,Air Quality Index (AQI),Noise Level,Energy Consumption (kWh),Water Usage (liters),Temperature (°C),Humidity (%),Device Status,Maintenance Date,Power Outage Hours (per month),Incident Reports,Public WiFi Users,Connectivity Uptime (%),Smart Parking Spots,Road Quality Index,Device Manufacturer,Firmware Version,Energy Rate (per kWh),Water Rate (per liter),Operating Cost (per hour),Advertising Revenue (from WiFi),Maintenance Cost,Device Usage Hours,Date,Time,Country,Smart Parking Revenue
D0000,Pollution Sensor,13-04-2024,L0451,San Francisco,Financial District,89.356599,-127.622833,1520,74,79 dB,23.13,1720,21.0,61,Active,03-03-2023,19,6,234,93.81,28,63,UrbanTech,v2.0,0.3,0.0038,12.35,0.0,0.0,346,13-04-2024,21:44:52,USA,2185.43
D0001,Public WiFi,12-11-2021,L0531,Seattle,Pioneer Square,84.367397,36.047288,1939,65,63 dB,10.65,2448,-4.1,62,Active,03-03-2023,14,8,345,91.8,39,63,SmartIoT,v1.1,0.33,0.0067,38.7,584.66,0.0,1802,12-11-2021,00:20:47,USA,4778.21
D0002,Public WiFi,11-02-2024,L0810,Seattle,Pioneer Square,-62.433993,-24.258862,1325,80,74 dB,15.32,1257,7.9,52,Active,03-03-2023,31,2,295,99.91,37,63,SmartIoT,v1.0,0.29,0.0085,39.96,931.97,0.0,716,11-02-2024,14:04:33,USA,3793.97
D0003,Pollution Sensor,11-10-2024,L0741,Houston,Midtown,-78.170852,77.43525,2115,93,69 dB,41.67,1389,26.2,28,Under Maintenance,16-11-2023,33,6,234,94.15,46,63,UrbanTech,v2.1,0.31,0.009,36.48,0.0,191.5,643,11-10-2024,15:07:07,USA,3193.96
D0004,Smart Meter,16-04-2023,L0151,Miami,South Beach,-34.077433,34.592106,1344,102,74 dB,34.16,2825,-9.6,23,Active,03-03-2023,19,6,234,98.84,50,63,DeviceCorp,v1.0,0.43,0.0054,24.96,0.0,0.0,989,16-04-2023,02:15:18,USA,1202.08
D0005,Traffic Light,02-08-2023,L0928,Houston,Midtown,-50.499587,27.191095,1752,104,68 dB,29.17,1073,38.2,81,Inactive,03-03-2023,41,10,234,92.82,27,1,UrbanTech,v1.0,0.41,0.0011,11.83,0.0,0.0,1152,02-08-2023,13:12:55,USA,1201.98
D0006,Smart Meter,06-02-2022,L0404,Chicago,The Loop,33.653871,91.271577,1450,54,75 dB,9.81,1414,34.2,33,Inactive,03-03-2023,48,1,234,94.55,27,63,GreenTech,v2.0,0.51,0.0041,30.11,0.0,0.0,1543,06-02-2022,18:58:35,USA,761.38
D0007,Public WiFi,14-05-2022,L0263,Los Angeles,Hollywood,-18.45633,-74.988182,1814,88,79 dB,1.36,2730,3.9,54,Under Maintenance,03-06-2024,7,3,261,97.42,34,63,SmartIoT,v2.1,0.16,0.0011,20.63,273.78,344.76,464,14-05-2022,07:39:41,USA,4397.79
D0008,Public WiFi,17-10-2024,L0597,Miami,South Beach,35.99542,8.498073,1925,62,60 dB,49.0,1069,9.0,100,Active,03-03-2023,28,8,490,96.98,29,63,GreenTech,v1.1,0.19,0.0016,27.04,242.82,0.0,1271,17-10-2024,20:10:37,USA,3205.02
D0009,Traffic Light,21-12-2021,L0348,Seattle,Capitol Hill,-86.677095,59.586942,1413,92,80 dB,8.13,2151,6.0,31,Under Maintenance,03-01-2023,1,6,234,92.85,44,65,UrbanTech,v1.1,0.32,0.005,44.0,0.0,459.21,1844,21-12-2021,04:05:47,USA,3686.33
D0010,Pollution Sensor,05-05-2023,L0667,New York,Manhattan,-2.079435,-75.719101,1688,50,64 dB,42.51,2904,29.5,47,Under Maintenance,17-09-2024,36,0,234,91.32,35,63,SmartIoT,v1.1,0.44,0.0045,35.01,0.0,433.03,1592,05-05-2023,22:16:50,USA,592.63
D0011,Parking Sensor,01-03-2023,L0903,Chicago,The Loop,-28.574908,-84.051411,1180,77,74 dB,36.81,1297,-4.4,28,Inactive,03-03-2023,44,10,234,90.6,49,63,DeviceCorp,v1.0,0.49,0.0096,19.26,0.0,0.0,934,01-03-2023,09:22:41,USA,4864.59
D0012,Public WiFi,21-07-2023,L0954,Miami,South Beach,13.199987,49.605601,2143,78,64 dB,38.59,2718,40.0,51,Active,03-03-2023,40,3,225,93.16,37,63,DeviceCorp,v1.0,0.35,0.0087,23.07,652.53,0.0,300,21-07-2023,11:18:10,USA,4245.99
D0013,Public WiFi,20-05-2022,L0859,San Francisco,Mission District,-48.514184,62.3606,1635,82,66 dB,22.08,1795,5.1,82,Under Maintenance,11-11-2023,5,8,262,96.37,42,63,DeviceCorp,v1.0,0.18,0.0049,18.0,547.43,439.63,303,20-05-2022,01:55:40,USA,1455.53
D0014,Parking Sensor,21-10-2023,L0245,San Francisco,Financial District,43.347845,64.148988,2283,59,79 dB,23.69,1245,11.5,60,Active,03-03-2023,44,3,234,98.53,27,63,SmartIoT,v1.0,0.29,0.0065,35.92,0.0,0.0,1552,21-10-2023,08:47:02,USA,1318.21
D0015,Pollution Sensor,11-09-2022,L0563,San Francisco,Financial District,-49.02757,-177.514764,1774,57,76 dB,47.93,2277,2.6,47,Active,03-03-2023,16,7,234,93.76,47,63,UrbanTech,v2.0,0.3,0.0054,44.66,0.0,0.0,924,11-09-2022,15:07:54,USA,1325.32
D0016,Public WiFi,23-04-2021,L0456,New York,Brooklyn,-1.701498,-149.284703,1398,102,68 dB,8.49,2478,14.6,39,Active,03-03-2023,4,6,398,92.15,48,63,SmartIoT,v2.0,0.37,0.0012,23.45,663.52,0.0,1223,23-04-2021,09:02:42,USA,1869.09
